Country,Variable,Value
Niger,TotalDeaths,312
Micronesia,TotalDeaths,29
Antigua and Barbuda,TotalDeaths,146
Guinea-Bissau,TotalDeaths,175
Comoros,TotalDeaths,161
Liberia,TotalDeaths,294
Sierra Leone,TotalDeaths,126
Chad,TotalDeaths,193
British Virgin Islands,TotalDeaths,64
Saint Kitts and Nevis,TotalDeaths,46
Cook Islands,TotalDeaths,1
Palau,TotalDeaths,6
Nauru,TotalDeaths,1
Anguilla,TotalDeaths,12
Kiribati,TotalDeaths,13
Saint Pierre and Miquelon,TotalDeaths,1
Falkland Islands [Islas Malvinas],TotalDeaths,
Montserrat,TotalDeaths,8
Saint Helena,TotalDeaths,
Wallis and Futuna,TotalDeaths,7
Niue,TotalDeaths,
Vatican City,TotalDeaths,
Tuvalu,TotalDeaths,
Western Sahara,TotalDeaths,1
United States of America,TotalRecovered,94962112
India,TotalRecovered,44019095
France,TotalRecovered,34527115
Brazil,TotalRecovered,33838636
Germany,TotalRecovered,32315200
South Korea,TotalRecovered,24013461
United Kingdom,TotalRecovered,23347871
Italy,TotalRecovered,21779604
Japan,TotalRecovered,20380089
Russia,TotalRecovered,19979763
Turkey,TotalRecovered,16754301
Spain,TotalRecovered,13218892
Vietnam,TotalRecovered,10590917
Australia,TotalRecovered,10133494
Argentina,TotalRecovered,9563348
Netherlands,TotalRecovered,8362464
Iran,TotalRecovered,7325370
Mexico,TotalRecovered,6353953
Indonesia,TotalRecovered,6253317
Taiwan,TotalRecovered,5603195
Colombia,TotalRecovered,6134690
Poland,TotalRecovered,5335940
Portugal,TotalRecovered,5394788
Ukraine,TotalRecovered,4973554
Austria,TotalRecovered,5006572
Greece,TotalRecovered,4836903
Malaysia,TotalRecovered,4777329
North Korea,TotalRecovered,4772739
Thailand,TotalRecovered,4642083
Israel,TotalRecovered,4641394
Chile,TotalRecovered,4540886
Belgium,TotalRecovered,4451569
Canada,TotalRecovered,4131367
Peru,TotalRecovered,3914598
Czechia,TotalRecovered,4035333
Switzerland,TotalRecovered,4012833
South Africa,TotalRecovered,3909265
Philippines,TotalRecovered,3854478
Romania,TotalRecovered,3180124
Denmark,TotalRecovered,3093396
Sweden,TotalRecovered,2548125
Iraq,TotalRecovered,2433704
Serbia,TotalRecovered,2298536
Hungary,TotalRecovered,2014175
Bangladesh,TotalRecovered,1964501
Singapore,TotalRecovered,1821160
Slovakia,TotalRecovered,1817938
Georgia,TotalRecovered,1637293
New Zealand,TotalRecovered,1767660
Hong Kong,TotalRecovered,1469240
Jordan,TotalRecovered,1731007
Ireland,TotalRecovered,1648405
Pakistan,TotalRecovered,1536924
Norway,TotalRecovered,1457108
Kazakhstan,TotalRecovered,1378440
Finland,TotalRecovered,1263711
Morocco,TotalRecovered,1248543
Bulgaria,TotalRecovered,1211397
Lithuania,TotalRecovered,1216151
Croatia,TotalRecovered,1209524
Lebanon,TotalRecovered,1087587
Slovenia,TotalRecovered,1145051
Tunisia,TotalRecovered,
Guatemala,TotalRecovered,1102988
Cuba,TotalRecovered,1102548
Bolivia,TotalRecovered,1051789
Costa Rica,TotalRecovered,860711
United Arab Emirates,TotalRecovered,1006369
Ecuador,TotalRecovered,964320
Nepal,TotalRecovered,986617
Belarus,TotalRecovered,985592
Panama,TotalRecovered,976873
Uruguay,TotalRecovered,976760
Mongolia,TotalRecovered,979439
Latvia,TotalRecovered,891237
Azerbaijan,TotalRecovered,810181
Saudi Arabia,TotalRecovered,803546
Paraguay,TotalRecovered,696110
Bahrain,TotalRecovered,675724
Sri Lanka,TotalRecovered,653779
Kuwait,TotalRecovered,655316
Dominican Republic,TotalRecovered,638911
Myanmar,TotalRecovered,597898
Palestine,TotalRecovered,608749
Estonia,TotalRecovered,524990
Moldova,TotalRecovered,504142
Cyprus,TotalRecovered,578452
Venezuela,TotalRecovered,538033
Egypt,TotalRecovered,442182
Libya,TotalRecovered,500507
Ethiopia,TotalRecovered,471918
Réunion,TotalRecovered,418572
