,name,value,,,
160,TotRecovered.1Mpop,30301,,,
161,TotCases.1Mpop,150336,,,
162,TotRecovered.1Mpop,149604,,,
163,TotCases.1Mpop,58248,,,
164,TotRecovered.1Mpop,57787,,,
165,TotCases.1Mpop,11277,,,
166,TotRecovered.1Mpop,10826,,,
167,TotCases.1Mpop,116087,,,
168,TotRecovered.1Mpop,113880,,,
169,TotCases.1Mpop,455303,,,
170,TotRecovered.1Mpop,397145,,,
171,TotCases.1Mpop,146863,,,
172,TotRecovered.1Mpop,125622,,,
173,TotCases.1Mpop,478437,,,
174,TotRecovered.1Mpop,472828,,,
175,TotCases.1Mpop,18611,,,
176,TotRecovered.1Mpop,18384,,,
177,TotCases.1Mpop,4857,,,
178,TotRecovered.1Mpop,4165,,,
179,TotCases.1Mpop,72008,,,
180,TotRecovered.1Mpop,71087,,,
181,TotCases.1Mpop,4085,,,
182,TotRecovered.1Mpop,3906,,,
183,TotCases.1Mpop,520159,,,
184,TotRecovered.1Mpop,460951,,,
185,TotCases.1Mpop,44651,,,
186,TotRecovered.1Mpop,0,,,
187,TotCases.1Mpop,151161,,,
188,TotRecovered.1Mpop,148802,,,
189,TotCases.1Mpop,149018,,,
190,TotRecovered.1Mpop,144750,,,
191,TotCases.1Mpop,122693,,,
192,TotRecovered.1Mpop,115918,,,
193,TotCases.1Mpop,74755,,,
194,TotRecovered.1Mpop,72252,,,
195,TotCases.1Mpop,164692,,,
196,TotRecovered.1Mpop,159903,,,
197,TotCases.1Mpop,6020,,,
198,TotRecovered.1Mpop,5918,,,
199,TotCases.1Mpop,17130,,,
200,TotRecovered.1Mpop,16917,,,
201,TotCases.1Mpop,115886,,,
202,TotRecovered.1Mpop,113987,,,
203,TotCases.1Mpop,133669,,,
204,TotRecovered.1Mpop,132296,,,
205,TotCases.1Mpop,449363,,,
206,TotRecovered.1Mpop,441595,,,
207,TotCases.1Mpop,445899,,,
208,TotRecovered.1Mpop,439771,,,
209,TotCases.1Mpop,5968,,,
210,TotRecovered.1Mpop,4020,,,
211,TotCases.1Mpop,1224,,,
212,TotRecovered.1Mpop,1192,,,
213,TotCases.1Mpop,16790,,,
214,TotRecovered.1Mpop,16390,,,
215,TotCases.1Mpop,173,,,
216,TotRecovered.1Mpop,167,,,
217,TotCases.1Mpop,7103,,,
218,TotRecovered.1Mpop,7024,,,
219,TotCases.1Mpop,6957,,,
220,TotRecovered.1Mpop,6887,,,
221,TotCases.1Mpop,507906,,,
222,TotRecovered.1Mpop,498708,,,
223,TotCases.1Mpop,592424,,,
224,TotRecovered.1Mpop,0,,,
225,TotCases.1Mpop,28852,,,
226,TotRecovered.1Mpop,0,,,
227,TotCases.1Mpop,30629,,,
228,TotRecovered.1Mpop,29191,,,
229,TotCases.1Mpop,595371,,,
230,TotRecovered.1Mpop,0,,,
231,TotCases.1Mpop,30805,,,
232,TotRecovered.1Mpop,27389,,,
233,TotCases.1Mpop,4885,,,
234,TotRecovered.1Mpop,4364,,,
235,TotCases.1Mpop,482251,,,
236,TotRecovered.1Mpop,0,,,
237,TotCases.1Mpop,342046,,,
238,TotRecovered.1Mpop,302572,,,
239,TotCases.1Mpop,129816,,,
240,TotRecovered.1Mpop,123856,,,
241,TotCases.1Mpop,3498,,,
242,TotRecovered.1Mpop,2074,,,
