Country,TotalCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,TotRecovered/1Mpop,TotCases/1Mpop,Deaths/1Mpop,TotalTests,Deaths/Case,Tests/1Mpop,Cases/Test,Population,latitude,longitude
British Virgin Islands,7305,64,,N/A,N/A,,,238757,2092,107339,0.008761123,3508269,0.068055413,30596,18.420695,-64.639968
Saint Kitts and Nevis,6541,46,,6482,13,,120324.4788,121420,854,124861,0.007032564,2317778,0.052386254,53871,17.357822,-62.782998
Cook Islands,6389,1,,6384,4,,363325.9348,363610,57,19690,0.000156519,1120596,0.324479431,17571,-21.236736,-159.777671
Palau,5460,6,,5444,10,1,298579.4987,299457,329,64681,0.001098901,3547469,0.084414279,18233,7.51498,134.58252
Nauru,4611,1,,4605,5,,422360.8181,422911,92,20509,0.000216873,1881042,0.224828124,10903,-0.522778,166.931503
Anguilla,3865,12,,3848,5,4,252659.2252,253775,788,51382,0.003104787,3373736,0.075220894,15230,18.220554,-63.068615
Kiribati,3430,13,,2703,714,3,21901.0039,27792,105,,0.003790087,,0,123419,-3.370417,-168.734039
Saint Pierre and Miquelon,3188,1,,2449,738,1,425247.4388,553568,174,24902,0.000313676,4324015,0.128021846,5759,46.941936,-56.27111
Falkland Islands [Islas Malvinas],1886,,,1886,0,,532918.9036,532919,,8632,0,2439107,0.218489342,3539,-51.796253,-59.523613
Montserrat,1396,8,,1353,35,,272507.5529,281168,1611,17579,0.005730659,3540584,0.079412936,4965,16.742498,-62.187366
Saint Helena,1355,,,2,1353,,327.0645953,221586,,,0,,0,6115,-24.143474,-10.030696
Wallis and Futuna,761,7,,438,316,,39883.44564,69295,637,20508,0.009198423,1867419,0.03710747,10982,-13.768752,-177.156097
Niue,80,,,80,0,,49321.82491,49322,,,0,,0,1622,-19.054445,-169.867233
Vatican City,29,,,29,0,,36295.36921,36295,,,0,,0,799,41.902916,12.453389
Tuvalu,20,,,,20,,0,1658,,,0,,0,12066,-7.109535,177.64933
Western Sahara,10,1,,9,0,,14.37330016,16,2,,0.1,,0,626161,24.215527,-12.885834
,,,,,,,,,,,,,,,,
,,,,,,,,602141.7046,,,,,,,,
