Country,TotalCases,"Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical",TotCases/1Mpop,"Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population,latitude,longitude
Tunisia,1145686,29249,,N/A,N/A,99,95104,2428,4948208,410754,12046656,33.886917,9.537499
Guatemala,1123465,19789,,1102988,688,5,60453,1065,5884813,316660,18584039,15.783471,-90.230759
Cuba,1111179,8530,,1102548,101,23,98285,754,14149157,1251512,11305652,21.521757,-77.781167
Bolivia,1108195,22234,,1051789,34172,220,92406,1854,2705422,225590,11992656,-16.290154,-63.588653
Costa Rica,1072807,8913,,860711,203183,52,207012,1720,4659757,899158,5182354,9.748917,-83.753428
United Arab Emirates,1027031,2345,,1006369,18317,,101870,233,190586733,18904066,10081785,23.424076,53.847818
Ecuador,1003778,35894,,964320,3564,759,55416,1982,3082403,170173,18113361,-1.831239,-78.183406
Nepal,999712,12018,,986617,1077,,33075,398,5936702,196413,30225582,28.394857,84.124008
Belarus,994037,7118,,985592,1327,,105381,755,13646641,1446722,9432800,53.709807,27.953389
Panama,986866,8497,,976873,1496,16,221919,1911,7062027,1588056,4446964,8.537981,-80.782127
Uruguay,985422,7485,,976760,1177,18,281870,2141,6114822,1749083,3496016,-32.522779,-55.765835
Mongolia,982864,2179,,979439,1246,192,290954,645,4030048,1193000,3378078,46.862496,103.846656
Latvia,929051,5990,,891237,31824,5,502506,3240,7650009,4137741,1848837,56.879635,24.603189
Azerbaijan,821162,9910,,810181,1071,,79723,962,7245111,703395,10300205,40.143105,47.576927
Saudi Arabia,816389,9351,,803546,3492,32,22776,261,44321147,1236470,35844909,23.885942,45.079162
Paraguay,716059,19583,,696110,366,7,98012,2680,2657506,363751,7305843,-23.442503,-58.443832
Bahrain,680271,1520,,675724,3027,2,381321,852,10376306,5816370,1783983,25.930414,50.637772
Sri Lanka,670763,16761,,653779,223,,31089,777,6486117,300619,21575842,7.873054,80.771797
Kuwait,658520,2563,,655316,641,3,150336,585,8365279,1909739,4380326,29.31166,47.481766
Dominican Republic,644016,4384,,638911,721,4,58248,397,3657057,330765,11056370,18.735693,-70.162651
Myanmar,622802,19458,,597898,5446,,11277,352,9056450,163985,55227143,21.913965,95.956223
Palestine,620548,5403,,608749,6396,17,116087,1011,3078533,575907,5345541,31.9522,#N/A
Estonia,601869,2681,,524990,74198,4,455303,2028,3536858,2675566,1321910,58.595272,25.013607
Moldova,589388,11844,,504142,73402,49,146863,2951,3216305,801437,4013171,47.411631,28.369885
Cyprus,585313,1180,,578452,5681,60,478437,965,9640118,7879860,1223387,35.126413,33.429859
Venezuela,544687,5814,,538033,840,36,18611,199,3359014,114771,29266991,6.42375,-66.58973
Egypt,515645,24613,,442182,48850,122,4857,232,3693367,34792,106156692,26.820553,30.802498
Libya,506991,6437,,500507,47,101,72008,914,2481983,352517,7040745,26.3351,17.228331
Ethiopia,493563,7572,,471918,14073,1,4085,63,5258807,43529,120812698,9.145,40.489673
Réunion,472336,893,,418572,52871,10,520159,983,1603660,1766027,908061,-21.115141,55.536384
Honduras,456391,10993,,N/A,N/A,105,44651,1076,1528531,149544,10221247,15.199999,-86.241905
Qatar,450448,682,,443418,6348,4,151161,229,3951470,1326034,2979915,25.354826,51.183884
Armenia,442875,8683,,430192,4000,,149018,2922,3210961,1080416,2971966,40.069099,45.038189
Bosnia and Herzegovina,398668,16136,,376654,5878,,122693,4966,1861041,572748,3249317,43.915886,17.679076
Oman,397993,4260,,384669,9064,2,74755,800,25000000,4695724,5323993,21.512583,55.923255
Macedonia [FYROM],342775,9534,,332806,435,,164692,4581,2130257,1023520,2081304,41.608635,21.745275
Kenya,338420,5678,,332663,79,1,6020,101,3881967,69055,56215221,-0.023559,37.906193
Zambia,333531,4017,,329375,139,,17130,206,3731374,191645,19470234,-13.133897,27.849332
Albania,332173,3588,,326729,1856,,115886,1252,1941032,677173,2866374,41.153332,20.168331
Botswana,326308,2789,,322955,564,1,133669,1142,2026898,830300,2441162,-22.328474,24.684866
Luxembourg,288658,1123,,283668,3867,,449363,1748,4402293,6853194,642371,49.815273,6.129583
Montenegro,280002,2781,,276154,1067,6,445899,4429,2624193,4178984,627950,42.708678,19.37439
Algeria,270668,6879,,182306,81483,6,5968,152,230861,5091,45350148,28.033886,1.659626
Nigeria,265382,3155,,258381,3846,11,1224,15,5441162,25104,216746934,9.081999,8.675277
Zimbabwe,257409,5602,,251281,526,12,16790,365,2511501,163814,15331428,-19.015438,29.154857
China,250449,5226,,242254,2969,36,173,4,160000000,110461,1448471400,35.86166,104.195397
Uzbekistan,244199,1637,,241486,1076,23,7103,48,1377915,40077,34382084,41.377491,64.585262
Mozambique,230219,2221,,227882,116,11,6957,67,1371127,41437,33089461,-18.665695,35.529562
Brunei,226237,225,,222140,3872,3,507906,505,717784,1611437,445431,4.535277,114.727669
Martinique,221618,1044,,N/A,N/A,8,592424,2791,828928,2215870,374087,14.641528,-61.024174
Laos,215843,758,,N/A,N/A,,28852,101,1233207,164845,7481023,19.85627,102.495496
Kyrgyzstan,206083,2991,,196406,6686,131,30629,445,1907195,283460,6728271,41.20438,74.766098
Iceland,205637,213,,N/A,N/A,2,595371,617,1996384,5780036,345393,64.963051,-19.020835
El Salvador,201785,4229,,179410,18146,8,30805,646,2610114,398467,6550389,13.794185,-88.89653
Afghanistan,199067,7799,,177850,13418,1124,4885,191,1103716,27082,40754388,33.93911,67.709953
Guadeloupe,192801,989,,N/A,N/A,19,482251,2474,938039,2346306,399794,16.995971,-62.067641
Maldives,185042,308,,163687,21047,25,342046,569,2213831,4092223,540985,3.202778,73.22068
Trinidad and Tobago,182597,4195,,174214,4188,18,129816,2982,834508,593287,1406585,10.691803,-61.222503
Uganda,169396,3628,,100431,65337,3,3498,75,3012408,62198,48432863,1.373333,32.290275
Namibia,169253,4065,,164813,375,,64260,1543,1062663,403460,2633874,-22.95764,18.49041
Ghana,169100,1459,,167307,334,2,5220,45,2504017,77295,32395450,7.946527,-1.023194
Jamaica,151829,3317,,99239,49273,,50862,1111,1183986,396633,2985094,18.109581,-77.297508
Cambodia,137870,3056,,134745,69,,8030,178,3069567,178789,17168639,12.565679,104.990963
Rwanda,132498,1466,,130955,77,,9742,108,5816624,427678,13600464,-1.940278,29.873888
Cameroon,121652,1935,,118616,1101,13,4358,69,1751774,62762,27911548,7.369722,12.354722
Malta,114652,806,,113195,651,4,258206,1815,2060900,4641322,444033,35.937496,14.375416
Angola,103131,1917,,101155,59,,2944,55,1499795,42818,35027343,-11.202692,17.873887
Barbados,102546,559,,101760,227,,356034,1941,765378,2657350,288023,13.193887,-59.543198
French Guiana,93974,410,,11254,82310,3,299119,1305,651257,2072951,314169,3.933889,-53.125782
Dem. Rep. Congo,92852,1442,,83504,7906,,975,15,846704,8890,95240792,-4.038333,21.758664
Senegal,88373,1968,,86297,108,,5006,111,1146543,64946,17653671,14.497401,-14.452362
Malawi,88024,2682,,84872,470,67,4362,133,616772,30562,20180839,-13.254308,34.301525
Côte d'Ivoire,87208,826,,86338,44,,3144,30,1628106,58687,27742298,7.539989,-5.54708
